ID,Category,Region,WingStatus,Inventory ID,Country,Airline,Wing Identification,Circa,Material,Size,Hallmark,Clutch/Screw/Pin,Year Acquired,Source,Acquired by,Cost,Sale/Trade,Market Value,Condition,Date MV,Thumbnail,Photo,Reverse Photo,Memo,Additional Notes,Status
1160,M,2,Yes,BRA-M-AF-050,Brazil,Air Force,Pilot,,Metal,,,Clutch,Jul-96,Harry Pugh,Purchase,$8.00 ,,,Mint,,small_bramaf50.jpg,bramaf50.jpg,nopicture.gif,,,A
1161,M,5,Yes,BRN-M-AF-020,Brunei,Air Force,Pilot,,Cloth Padded,,,none,1996,Malloy,,,,,Good,,small_brnmaf20.jpg,brnmaf20.jpg,nopicture.gif,,,A
1162,M,5,Yes,BWA-M-AF-020,Botswana,Air Force,Pilot,,Cloth,,,none,,,,,,,Mint,,small_bwamaf20.jpg,bwamaf20.jpg,nopicture.gif,,,A
1163,M,1,Yes,CAN-M-AF-020,Canada,Air Force,"Pilot - ""RCAF""",,Metal,,,Pin,2003,Ebay - Lorrie Young,Purchased,$50.00 ,,,Good,,small_canmaf20.jpg,canmaf20.jpg,nopicture.gif,,,A
1164,M,1,Yes,CAN-M-AF-030,Canada,Air Force,"Pilot - ""RCAF""",,Cloth,,,Safety Pins,2003,Ebay,Purchased,$40.00 ,,,Good,,small_canmaf30.jpg,canmaf30.jpg,nopicture.gif,Padded,,A
1165,M,1,Yes,CAN-M-AF-035,Canada,Air Force,"Pilot - ""RCAF""",,Cloth,,,,2003,Ebay,Purchased,$40.00 ,,,Good,,small_canmaf35.jpg,canmaf35.jpg,nopicture.gif,"Flat, Not Padded",,A
1166,M,1,Yes,CAN-M-AF-040,Canada,Air Force,Cadet Glider Pilot,1992,Metal,,,Clutch,1993,Lt Col Byrne,Purchased,$7.00 ,,,Excellent,,small_canmaf40.jpg,canmaf40.jpg,nopicture.gif,,,A
1167,M,1,Yes,CAN-M-AF-045,Canada,Air Force,Cadet Pilot,1992,Metal,,,Clutch,1993,Lt Col Byrne,Purchased,$7.00 ,,,Excellent,,small_canmaf45.jpg,canmaf45.jpg,nopicture.gif,,,A
1168,M,1,Yes,CAN-M-AF-050,Canada,Air Force,Pilot,1988,Metal,,William Scully,Clutch,1988,,Purchased,,,,Excellent,,small_canmaf50.jpg,canmaf50.jpg,nopicture.gif,,,A
1169,M,1,Yes,CAN-M-AF-055,Canada,Air Force,Pilot,1988,Metal,,CLAMOND 1984,Clutch,1988,,Purchased,,,,Excellent,,small_canmaf55.jpg,canmaf55.jpg,nopicture.gif,,,A
1170,M,1,Yes,CAN-M-AF-060,Canada,Air Force,Pilot,1988,Cloth,,,,1988,,Purchased,,,,Excellent,,small_canmaf60.jpg,canmaf60.jpg,nopicture.gif,Padded,,A
1171,M,3,Yes,CHE-M-AF-050,Switzerland,Air Force,Pilot,,Metal,,,Prongs,,,,,,,Excellent,,small_chemaf50.jpg,chemaf50.jpg,nopicture.gif,,,A
1172,M,3,Yes,CHE-M-AF-060,Switzerland,Air Force,Pilot,,Metal,,,Prongs,,,,,,,Excellent,,small_chemaf60.jpg,chemaf60.jpg,nopicture.gif,,,A
1173,M,2,Yes,CHL-M-A-020,Chile,Army,Pilot,1998,Metal,,,Clutch,1998,,Purchased,,,,Excellent,,small_chlma20.jpg,chlma20.jpg,nopicture.gif,New,,A
1174,M,2,Yes,CHL-M-AF-020,Chile,Air Force,Pilot,,Metal,,,Clutch,1992,,,,,,Good,,small_chlmaf20.jpg,chlmaf20.jpg,nopicture.gif,Used,,A
1175,M,2,Yes,CHL-M-AF-022,Chile,Air Force,Pilot,1998,Metal,,,Clutch,,,Purchased,,,,Excellent,,small_chlmaf22.jpg,chlmaf22.jpg,nopicture.gif,New,,A
1176,M,2,Yes,CHL-M-AF-025,Chile,Air Force,Pilot - Parade Uniform,1998,Metal,,,Clutch,,,Purchased,,,,Excellent,,small_chlmaf25.jpg,chlmaf25.jpg,nopicture.gif,New,,A
1177,M,2,Yes,CHL-M-N-020,Chile,Navy,Aviator,,Metal,,,Pin,,,Purchased,,,,Good,,small_chlmn20.jpg,chlmn20.jpg,nopicture.gif,Used,,A
1178,M,2,Yes,CHL-M-N-030,Chile,Navy,Aviator,1998,Metal,,,Clutch,1998,,Purchased,,,,Excellent,,small_chlmn30.jpg,chlmn30.jpg,nopicture.gif,New,,A
1179,M,2,Yes,COL-M-A-030,Colombia,Army,Pilot,,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colma30.jpg,colma30.jpg,nopicture.gif,"New, Previous version, not in use",,A
1180,M,2,Yes,COL-M-A-040,Colombia,Army,Pilot,2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colma40.jpg,colma40.jpg,nopicture.gif,New,,A
1181,M,2,Yes,COL-M-AF-020,Colombia,Air Force,Pilot,2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmaf20.jpg,colmaf20.jpg,nopicture.gif,New,,A
1182,M,2,Yes,COL-M-AF-030,Colombia,Air Force,"Pilot, 1 Star",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmaf30.jpg,colmaf30.jpg,nopicture.gif,New,,A
1183,M,2,Yes,COL-M-AF-032,Colombia,Air Force,"Pilot, 1 Star",2002,Metal,,,Clutch,,Colombia,Purchased,,,,Good,,small_colmaf32.jpg,colmaf32.jpg,nopicture.gif,"Used, Different metal ",,A
1184,M,2,Yes,COL-M-AF-040,Colombia,Air Force,"Pilot, 2 Stars",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmaf40.jpg,colmaf40.jpg,nopicture.gif,New,,A
1185,M,2,Yes,COL-M-AF-050,Colombia,Air Force,"Pilot, 2 stars with Wreath",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmaf50.jpg,colmaf50.jpg,nopicture.gif,"New, The wreath is for General Officers",,A
1186,M,2,Yes,COL-M-AF-060,Colombia,Air Force,"Pilot, 3 Stars ",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmaf60.jpg,colmaf60.jpg,nopicture.gif,"New, stars smaller than other wings, Type 1",,A
1187,M,2,Yes,COL-M-AF-063,Colombia,Air Force,"Pilot, 3 Stars ",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmaf63.jpg,colmaf63.jpg,nopicture.gif,"New, stars different position, Type 2",,A
1188,M,2,Yes,COL-M-AF-070,Colombia,Air Force,"Pilot, 3 Stars with Wreath",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmaf70.jpg,colmaf70.jpg,nopicture.gif,"New, 3 Stars with Wreath, Type 1",,A
1189,M,2,Yes,COL-M-AF-073,Colombia,Air Force,"Pilot, 3 Stars with Wreath",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmaf73.jpg,colmaf73.jpg,nopicture.gif,"New, 3 Stars with Wreath, Type 2",,A
1190,M,2,Yes,COL-M-AF-077,Colombia,Air Force,"Pilot, 3 Stars with Wreath",2002,Metal,,,Clutch,2002,Colombia,Purchased,,,,Excellent,,small_colmaf77.jpg,colmaf77.jpg,nopicture.gif,"New, 3 Stars with Wreath, Type 3",,A
